ID;Label_true;source_file;Label_pred;correct
D2-1;human;subm1_labels_revealed.csv;openai;False
D2-2;anthropic;subm1_labels_revealed.csv;anthropic;True
D2-3;openai;subm1_labels_revealed.csv;openai;True
D2-4;meta;subm1_labels_revealed.csv;openai;False
D2-5;human;subm1_labels_revealed.csv;anthropic;False
D2-6;human;subm1_labels_revealed.csv;anthropic;False
D2-7;anthropic;subm1_labels_revealed.csv;anthropic;True
D2-8;google;subm1_labels_revealed.csv;anthropic;False
D2-9;human;subm1_labels_revealed.csv;anthropic;False
D2-10;human;subm1_labels_revealed.csv;human;True
D2-11;openai;subm1_labels_revealed.csv;anthropic;False
D2-12;human;subm1_labels_revealed.csv;anthropic;False
D2-13;human;subm1_labels_revealed.csv;anthropic;False
D2-14;human;subm1_labels_revealed.csv;openai;False
D2-15;openai;subm1_labels_revealed.csv;anthropic;False
D2-16;human;subm1_labels_revealed.csv;human;True
D2-17;anthropic;subm1_labels_revealed.csv;anthropic;True
D2-18;google;subm1_labels_revealed.csv;anthropic;False
D2-19;meta;subm1_labels_revealed.csv;anthropic;False
D2-20;human;subm1_labels_revealed.csv;anthropic;False
D2-21;human;subm1_labels_revealed.csv;openai;False
D2-22;anthropic;subm1_labels_revealed.csv;anthropic;True
D2-23;openai;subm1_labels_revealed.csv;anthropic;False
D2-24;human;subm1_labels_revealed.csv;anthropic;False
D2-25;google;subm1_labels_revealed.csv;anthropic;False
D2-26;openai;subm1_labels_revealed.csv;openai;True
D2-27;human;subm1_labels_revealed.csv;anthropic;False
D2-28;human;subm1_labels_revealed.csv;openai;False
D2-29;anthropic;subm1_labels_revealed.csv;meta;False
D2-30;human;subm1_labels_revealed.csv;openai;False
D2-31;google;subm1_labels_revealed.csv;anthropic;False
D2-32;meta;subm1_labels_revealed.csv;openai;False
D2-33;google;subm1_labels_revealed.csv;google;True
D2-34;google;subm1_labels_revealed.csv;google;True
D2-35;human;subm1_labels_revealed.csv;openai;False
D2-36;human;subm1_labels_revealed.csv;openai;False
D2-37;meta;subm1_labels_revealed.csv;openai;False
D2-38;human;subm1_labels_revealed.csv;openai;False
D2-39;openai;subm1_labels_revealed.csv;anthropic;False
D2-40;anthropic;subm1_labels_revealed.csv;anthropic;True
D2-41;human;subm1_labels_revealed.csv;anthropic;False
D2-42;openai;subm1_labels_revealed.csv;anthropic;False
D2-43;human;subm1_labels_revealed.csv;openai;False
D2-44;anthropic;subm1_labels_revealed.csv;anthropic;True
D2-45;anthropic;subm1_labels_revealed.csv;anthropic;True
D2-46;anthropic;subm1_labels_revealed.csv;anthropic;True
D2-47;human;subm1_labels_revealed.csv;anthropic;False
D2-48;anthropic;subm1_labels_revealed.csv;anthropic;True
D2-49;google;subm1_labels_revealed.csv;openai;False
D2-50;meta;subm1_labels_revealed.csv;anthropic;False
D2-51;google;subm1_labels_revealed.csv;openai;False
D2-52;meta;subm1_labels_revealed.csv;openai;False
D2-53;meta;subm1_labels_revealed.csv;openai;False
D2-54;openai;subm1_labels_revealed.csv;openai;True
D2-55;openai;subm1_labels_revealed.csv;anthropic;False
D2-56;anthropic;subm1_labels_revealed.csv;anthropic;True
D2-57;human;subm1_labels_revealed.csv;anthropic;False
D2-58;human;subm1_labels_revealed.csv;openai;False
D2-59;human;subm1_labels_revealed.csv;openai;False
D2-60;human;subm1_labels_revealed.csv;meta;False
D2-61;google;subm1_labels_revealed.csv;anthropic;False
D2-62;meta;subm1_labels_revealed.csv;openai;False
D2-63;google;subm1_labels_revealed.csv;google;True
D2-64;human;subm1_labels_revealed.csv;anthropic;False
D2-65;meta;subm1_labels_revealed.csv;anthropic;False
D2-66;anthropic;subm1_labels_revealed.csv;anthropic;True
D2-67;google;subm1_labels_revealed.csv;anthropic;False
D2-68;meta;subm1_labels_revealed.csv;anthropic;False
D2-69;meta;subm1_labels_revealed.csv;openai;False
D2-70;openai;subm1_labels_revealed.csv;anthropic;False
D2-71;anthropic;subm1_labels_revealed.csv;anthropic;True
D2-72;human;subm1_labels_revealed.csv;anthropic;False
D2-73;human;subm1_labels_revealed.csv;openai;False
D2-74;google;subm1_labels_revealed.csv;anthropic;False
D2-75;human;subm1_labels_revealed.csv;human;True
D2-76;google;subm1_labels_revealed.csv;openai;False
D2-77;meta;subm1_labels_revealed.csv;openai;False
D2-78;meta;subm1_labels_revealed.csv;anthropic;False
D2-79;google;subm1_labels_revealed.csv;anthropic;False
D2-80;openai;subm1_labels_revealed.csv;openai;True
D2-81;human;subm1_labels_revealed.csv;anthropic;False
D2-82;human;subm1_labels_revealed.csv;openai;False
D2-83;anthropic;subm1_labels_revealed.csv;anthropic;True
D2-84;google;subm1_labels_revealed.csv;openai;False
D2-85;meta;subm1_labels_revealed.csv;anthropic;False
D2-86;anthropic;subm1_labels_revealed.csv;anthropic;True
D2-87;openai;subm1_labels_revealed.csv;anthropic;False
D2-88;anthropic;subm1_labels_revealed.csv;anthropic;True
D2-89;openai;subm1_labels_revealed.csv;anthropic;False
D2-90;meta;subm1_labels_revealed.csv;anthropic;False
D2-91;google;subm1_labels_revealed.csv;anthropic;False
D2-92;meta;subm1_labels_revealed.csv;openai;False
D2-93;google;subm1_labels_revealed.csv;anthropic;False
D2-94;meta;subm1_labels_revealed.csv;openai;False
D2-95;meta;subm1_labels_revealed.csv;openai;False
D2-96;human;subm1_labels_revealed.csv;anthropic;False
D2-97;openai;subm1_labels_revealed.csv;anthropic;False
D2-98;human;subm1_labels_revealed.csv;openai;False
D2-99;anthropic;subm1_labels_revealed.csv;anthropic;True
D2-100;human;subm1_labels_revealed.csv;openai;False
D2-101;human;subm2_labels_revealed.csv;anthropic;False
D2-102;openai;subm2_labels_revealed.csv;anthropic;False
D2-103;human;subm2_labels_revealed.csv;openai;False
D2-104;anthropic;subm2_labels_revealed.csv;anthropic;True
D2-105;google;subm2_labels_revealed.csv;anthropic;False
D2-106;anthropic;subm2_labels_revealed.csv;anthropic;True
D2-107;human;subm2_labels_revealed.csv;openai;False
D2-108;openai;subm2_labels_revealed.csv;anthropic;False
D2-109;anthropic;subm2_labels_revealed.csv;anthropic;True
D2-110;human;subm2_labels_revealed.csv;anthropic;False
D2-111;human;subm2_labels_revealed.csv;anthropic;False
D2-112;google;subm2_labels_revealed.csv;anthropic;False
D2-113;human;subm2_labels_revealed.csv;anthropic;False
D2-114;google;subm2_labels_revealed.csv;anthropic;False
D2-115;meta;subm2_labels_revealed.csv;anthropic;False
D2-116;google;subm2_labels_revealed.csv;anthropic;False
D2-117;meta;subm2_labels_revealed.csv;anthropic;False
D2-118;anthropic;subm2_labels_revealed.csv;anthropic;True
D2-119;human;subm2_labels_revealed.csv;openai;False
D2-120;meta;subm2_labels_revealed.csv;openai;False
D2-121;human;subm2_labels_revealed.csv;anthropic;False
D2-122;human;subm2_labels_revealed.csv;openai;False
D2-123;openai;subm2_labels_revealed.csv;anthropic;False
D2-124;human;subm2_labels_revealed.csv;openai;False
D2-125;openai;subm2_labels_revealed.csv;openai;True
