ID,Label
D2-101,Anthropic
D2-102,Anthropic
D2-103,Anthropic
D2-104,Anthropic
D2-105,Anthropic
D2-106,Google
D2-107,OpenAI
D2-108,Google
D2-109,Anthropic
D2-110,Anthropic
D2-111,Human
D2-112,Anthropic
D2-113,Anthropic
D2-114,Google
D2-115,Meta
D2-116,Anthropic
D2-117,Anthropic
D2-118,Anthropic
D2-119,Human
D2-120,OpenAI
D2-121,Anthropic
D2-122,OpenAI
D2-123,Anthropic
D2-124,Anthropic
D2-125,OpenAI
D2-126,OpenAI
D2-127,Anthropic
D2-128,Anthropic
D2-129,Human
D2-130,Anthropic
D2-131,OpenAI
D2-132,Human
D2-133,Anthropic
D2-134,Anthropic
D2-135,Anthropic
D2-136,Human
D2-137,OpenAI
D2-138,Human
D2-139,Human
D2-140,Human
D2-141,Human
D2-142,Human
D2-143,Human
D2-144,Anthropic
D2-145,Anthropic
D2-146,Anthropic
D2-147,Anthropic
D2-148,Anthropic
D2-149,Human
D2-150,Anthropic
D3-1,Anthropic
D3-2,Anthropic
D3-3,Anthropic
D3-4,Meta
D3-5,Anthropic
D3-6,Anthropic
D3-7,Anthropic
D3-8,Human
D3-9,Anthropic
D3-10,Anthropic
D3-11,Human
D3-12,Google
D3-13,Anthropic
D3-14,OpenAI
D3-15,Google
D3-16,Human
D3-17,OpenAI
D3-18,Meta
D3-19,Anthropic
D3-20,Anthropic
D3-21,Human
D3-22,OpenAI
D3-23,Human
D3-24,Anthropic
D3-25,Human
D3-26,Meta
D3-27,Meta
D3-28,Anthropic
D3-29,OpenAI
D3-30,Anthropic
D3-31,OpenAI
D3-32,Human
D3-33,Anthropic
D3-34,OpenAI
D3-35,Anthropic
D3-36,Google
D3-37,Anthropic
D3-38,Anthropic
D3-39,Meta
D3-40,Anthropic
D3-41,Anthropic
D3-42,Anthropic
D3-43,Anthropic
D3-44,Human
D3-45,Anthropic
D3-46,Anthropic
D3-47,Anthropic
D3-48,Anthropic
D3-49,Meta
D3-50,Meta
D3-51,Anthropic
D3-52,Anthropic
D3-53,Anthropic
D3-54,Human
D3-55,Google
D3-56,Anthropic
D3-57,Google
D3-58,Meta
D3-59,Meta
D3-60,Anthropic
D3-61,Human
D3-62,Anthropic
D3-63,Human
D3-64,Human
D3-65,OpenAI
D3-66,Human
D3-67,Google
D3-68,Anthropic
D3-69,OpenAI
D3-70,Meta
D3-71,Human
D3-72,Anthropic
D3-73,Google
D3-74,Google
D3-75,Anthropic
D3-76,Human
D3-77,Human
D3-78,Anthropic
D3-79,OpenAI
D3-80,OpenAI
D3-81,Human
D3-82,Anthropic
D3-83,Anthropic
D3-84,Human
D3-85,Human
D3-86,Human
D3-87,Anthropic
D3-88,Anthropic
D3-89,Anthropic
D3-90,Anthropic
D3-91,Anthropic
D3-92,OpenAI
D3-93,Anthropic
D3-94,OpenAI
D3-95,Human
D3-96,Human
D3-97,OpenAI
D3-98,Human
D3-99,OpenAI
D3-100,Human
