ID,Label
D2-101,Human
D2-102,Meta
D2-103,OpenAI
D2-104,Google
D2-105,Google
D2-106,Human
D2-107,OpenAI
D2-108,Human
D2-109,Google
D2-110,Google
D2-111,Human
D2-112,Google
D2-113,Meta
D2-114,Google
D2-115,Anthropic
D2-116,Google
D2-117,Anthropic
D2-118,Google
D2-119,Human
D2-120,OpenAI
D2-121,Meta
D2-122,Meta
D2-123,Google
D2-124,Anthropic
D2-125,OpenAI
D2-126,Anthropic
D2-127,Human
D2-128,Google
D2-129,Human
D2-130,Anthropic
D2-131,OpenAI
D2-132,Human
D2-133,Google
D2-134,OpenAI
D2-135,Anthropic
D2-136,Human
D2-137,OpenAI
D2-138,OpenAI
D2-139,OpenAI
D2-140,Human
D2-141,OpenAI
D2-142,Human
D2-143,Human
D2-144,Meta
D2-145,Meta
D2-146,Anthropic
D2-147,OpenAI
D2-148,Anthropic
D2-149,Human
D2-150,Google
D3-1,Google
D3-2,Human
D3-3,Google
D3-4,Meta
D3-5,Google
D3-6,Human
D3-7,Anthropic
D3-8,Human
D3-9,Google
D3-10,Meta
D3-11,OpenAI
D3-12,Google
D3-13,Google
D3-14,Anthropic
D3-15,Google
D3-16,Human
D3-17,OpenAI
D3-18,Google
D3-19,Human
D3-20,Google
D3-21,Human
D3-22,OpenAI
D3-23,Human
D3-24,Google
D3-25,OpenAI
D3-26,OpenAI
D3-27,OpenAI
D3-28,Anthropic
D3-29,Google
D3-30,Google
D3-31,Human
D3-32,Google
D3-33,Human
D3-34,OpenAI
D3-35,Human
D3-36,Anthropic
D3-37,Human
D3-38,Google
D3-39,Google
D3-40,Anthropic
D3-41,Google
D3-42,Anthropic
D3-43,Anthropic
D3-44,Human
D3-45,Google
D3-46,Google
D3-47,Google
D3-48,Google
D3-49,Meta
D3-50,Google
D3-51,Human
D3-52,Google
D3-53,Anthropic
D3-54,Human
D3-55,Meta
D3-56,Anthropic
D3-57,Google
D3-58,OpenAI
D3-59,OpenAI
D3-60,Google
D3-61,Human
D3-62,Anthropic
D3-63,Human
D3-64,Human
D3-65,Anthropic
D3-66,OpenAI
D3-67,Human
D3-68,Human
D3-69,Anthropic
D3-70,OpenAI
D3-71,Human
D3-72,Human
D3-73,Google
D3-74,Human
D3-75,Google
D3-76,Human
D3-77,Human
D3-78,OpenAI
D3-79,OpenAI
D3-80,OpenAI
D3-81,Human
D3-82,Anthropic
D3-83,Meta
D3-84,Human
D3-85,Human
D3-86,Human
D3-87,Human
D3-88,Meta
D3-89,Human
D3-90,Google
D3-91,Google
D3-92,OpenAI
D3-93,Human
D3-94,OpenAI
D3-95,Human
D3-96,OpenAI
D3-97,OpenAI
D3-98,Human
D3-99,Human
D3-100,Human
