id,label
D2-126,Anthropic
D2-127,Human
D2-128,OpenAI
D2-129,Human
D2-130,Anthropic
D2-131,OpenAI
D2-132,Human
D2-133,Google
D2-134,OpenAI
D2-135,Google
D2-136,Human
D2-137,OpenAI
D2-138,OpenAI
D2-139,Human
D2-140,Human
D2-141,Human
D2-142,Human
D2-143,Human
D2-144,Google
D2-145,Meta
D2-146,Anthropic
D2-147,Human
D2-148,Google
D2-149,Human
D2-150,Google
D3-76,Human
D3-77,Human
D3-78,Human
D3-79,OpenAI
D3-80,Meta
D3-81,Human
D3-82,Human
D3-83,Google
D3-84,Human
D3-85,Human
D3-86,Human
D3-87,Human
D3-88,OpenAI
D3-89,Human
D3-90,Google
D3-91,Google
D3-92,OpenAI
D3-93,Human
D3-94,OpenAI
D3-95,Human
D3-96,OpenAI
D3-97,Human
D3-98,Google
D3-99,Human
D3-100,Human
D4-1,Human
D4-2,OpenAI
D4-3,Google
D4-4,OpenAI
D4-5,Google
D4-6,Human
D4-7,Anthropic
D4-8,OpenAI
D4-9,Human
D4-10,Google
D4-11,Google
D4-12,Human
D4-13,Meta
D4-14,Human
D4-15,Human
D4-16,OpenAI
D4-17,Google
D4-18,Human
D4-19,OpenAI
D4-20,Human
D4-21,Meta
D4-22,Google
D4-23,Meta
D4-24,Google
D4-25,Human
D4-26,Human
D4-27,Human
D4-28,OpenAI
D4-29,Human
D4-30,OpenAI
D4-31,Google
D4-32,Human
D4-33,Google
D4-34,Human
D4-35,Human
D4-36,Human
D4-37,Human
D4-38,OpenAI
D4-39,Google
D4-40,Anthropic
D4-41,Google
D4-42,OpenAI
D4-43,OpenAI
D4-44,Human
D4-45,OpenAI
D4-46,OpenAI
D4-47,Google
D4-48,Google
D4-49,Human
D4-50,Anthropic
D4-51,OpenAI
D4-52,Google
D4-53,Human
D4-54,OpenAI
D4-55,Human
D4-56,Human
D4-57,Google
D4-58,Anthropic
D4-59,Google
D4-60,OpenAI
D4-61,Human
D4-62,Google
D4-63,Google
D4-64,Human
D4-65,Anthropic
D4-66,Anthropic
D4-67,Google
D4-68,Human
D4-69,Meta
D4-70,Google
D4-71,Google
D4-72,Google
D4-73,Google
D4-74,Human
D4-75,Anthropic
D4-76,OpenAI
D4-77,Anthropic
D4-78,Google
D4-79,Human
D4-80,Human
D4-81,OpenAI
D4-82,Google
D4-83,Anthropic
D4-84,Google
D4-85,Google
D4-86,Google
D4-87,Meta
D4-88,Human
D4-89,Human
D4-90,Human
D4-91,Human
D4-92,Human
D4-93,Human
D4-94,Human
D4-95,Google
D4-96,Human
D4-97,Human
D4-98,Google
D4-99,Human
D4-100,Human
